model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-large,eurosat,rgb,fft,20,0.0005,0.0001,32,Acc,97.1482,97.2037,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_163558.pt
olmoearth-base,benv2,s2s1,fft,20,0.001,0.0001,32,mAP,69.2281,67.055,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_163601.pt
olmoearth-large,eurosat,swir,fft,20,0.0005,0.0001,32,Acc,91.5185,91.1852,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_163636.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.001,0.0001,32,mAP,66.2576,60.5264,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_163927.pt
olmoearth-large,eurosat,nir,fft,20,0.0005,0.0001,32,Acc,90.2593,91.5926,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_164020.pt
olmoearth-base,eurosat,swir,fft,20,0.0001,0.0,32,Acc,93.3333,93.1481,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_164146.pt
olmoearth-base,eurosat,nir,fft,20,0.0001,0.0,32,Acc,92.5185,93.3519,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_164336.pt
olmoearth-large,eurosat,s2,fft,20,0.0005,0.0001,32,Acc,98.8148,98.7222,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_164845.pt
olmoearth-base,benv2,s2s1,fft,20,0.001,0.0,32,mAP,69.2054,65.1459,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_165730.pt
olmoearth-large,benv2,s1,fft,20,0.0001,0.0,32,mAP,57.3858,54.0193,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_165838.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.001,0.0,32,mAP,65.6086,61.5831,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_170106.pt
olmoearth-large,benv2,s2s1,fft,20,0.0001,0.0,32,mAP,66.4638,64.0019,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_170134.pt
olmoearth-base,benv2,s2s1,fft,20,0.0005,0.01,32,mAP,69.3079,64.5557,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_171941.pt
panopticon,eurosat,rgb,fft,20,0.001,0.01,32,Acc,97.6296,97.7963,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_172250.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0005,0.01,32,mAP,66.2552,60.8608,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_172238.pt
panopticon,eurosat,vre,fft,20,0.001,0.01,32,Acc,97.0741,97.2222,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_172532.pt
panopticon,eurosat,s2,fft,20,0.001,0.01,32,Acc,98.0741,98.4444,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_172604.pt
olmoearth-large,eurosat,vre,fft,20,0.0005,0.0,32,Acc,96.2222,96.2407,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_173937.pt
olmoearth-large,eurosat,swir,fft,20,0.0005,0.0,32,Acc,91.5556,91.463,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_174157.pt
olmoearth-large,eurosat,rgb,fft,20,0.0005,0.0,32,Acc,97.2222,96.9074,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_174217.pt
olmoearth-base,benv2,s2s1,fft,20,0.0005,0.0001,32,mAP,68.6477,64.3474,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_174211.pt
panopticon,eurosat,rgb,fft,20,0.001,0.0001,32,Acc,97.4815,97.9815,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_174432.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0005,0.0001,32,mAP,65.2469,60.2941,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_174407.pt
panopticon,eurosat,vre,fft,20,0.001,0.0001,32,Acc,96.963,96.963,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_174640.pt
olmoearth-large,eurosat,nir,fft,20,0.0005,0.0,32,Acc,90.7778,91.7037,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_174630.pt
panopticon,eurosat,nir,fft,20,0.001,0.01,32,Acc,94.3333,95.5556,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_175550.pt
olmoearth-large,eurosat,s2,fft,20,0.0005,0.0,32,Acc,99.1481,98.8889,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_175551.pt
olmoearth-base,benv2,s2s1,fft,20,0.0005,0.0,32,mAP,68.8777,64.6448,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_180440.pt
panopticon,eurosat,s2,fft,20,0.001,0.0001,32,Acc,98.2222,98.1667,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_180529.pt
panopticon,eurosat,rgb,fft,20,0.001,0.0,32,Acc,97.6667,98.0741,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_180618.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0005,0.0,32,mAP,66.2221,60.3055,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_180541.pt
panopticon,eurosat,vre,fft,20,0.001,0.0,32,Acc,97.1852,97.2593,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_180745.pt
panopticon,eurosat,nir,fft,20,0.001,0.0001,32,Acc,94.5185,95.6667,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_181452.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0001,0.01,32,mAP,65.0998,60.6873,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_182710.pt
panopticon,eurosat,rgb,fft,20,0.0005,0.01,32,Acc,98.3704,98.3519,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_182758.pt
olmoearth-base,benv2,s2s1,fft,20,0.0001,0.01,32,mAP,67.1368,64.6888,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_182739.pt
panopticon,eurosat,vre,fft,20,0.0005,0.01,32,Acc,97.4444,97.4074,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_182854.pt
panopticon,eurosat,swir,fft,20,0.001,0.01,32,Acc,94.7407,94.8333,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_182932.pt
panopticon,eurosat,nir,fft,20,0.001,0.0,32,Acc,94.5185,95.3704,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_183358.pt
panopticon,benv2,s2,fft,20,0.001,0.01,32,mAP,65.4137,64.3919,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_183506.pt
panopticon,benv2,s1,fft,20,0.001,0.01,32,mAP,57.2599,54.4492,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_184102.pt
panopticon,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.3704,98.5185,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_184444.pt
olmoearth-large,eurosat,vre,fft,20,0.0001,0.01,32,Acc,96.037,94.9259,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_184508.pt
olmoearth-large,eurosat,swir,fft,20,0.0001,0.01,32,Acc,91.1111,91.0926,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_184721.pt
olmoearth-large,eurosat,rgb,fft,20,0.0001,0.01,32,Acc,96.7407,97.1482,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_184840.pt
panopticon,eurosat,rgb,fft,20,0.0005,0.0001,32,Acc,98.4815,98.4444,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_184939.pt
panopticon,eurosat,vre,fft,20,0.0005,0.0001,32,Acc,97.2222,97.5185,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_185008.pt
panopticon,eurosat,swir,fft,20,0.001,0.0001,32,Acc,94.8519,94.9815,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_185020.pt
olmoearth-base,benv2,s2s1,fft,20,0.0001,0.0001,32,mAP,67.8967,64.5254,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_185108.pt
panopticon,eurosat,nir,fft,20,0.0005,0.01,32,Acc,94.8519,95.8333,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_185301.pt
