dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,148251144,24,65.15,66.05,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_194644.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,56.41,55.97,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_200406.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,49.36,48.75,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_200937.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,55.30,54.07,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_200951.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.0,108718856,24,53.41,52.35,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_201121.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,57.87,58.01,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_201141.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,58.21,58.13,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_201124.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,53.38,52.33,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_201203.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,55.32,54.77,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_201130.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,49.90,49.51,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_201158.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,56.84,57.45,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_201305.pt,clstoken,False,12,linear,none,full
