dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.01,107540746,24,89.65,88.59,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_005312.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.0,107540746,24,98.43,98.41,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_005454.pt,clstoken,True
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.01,107540746,24,88.26,87.04,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_005314.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.0,107540746,24,88.13,87.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_005347.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.0,107540746,24,88.57,88.78,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_005507.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.01,107540746,24,89.57,89.11,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_005431.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.01,107540746,24,98.69,98.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_005602.pt,clstoken,True
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.01,107540746,24,98.39,98.63,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_005617.pt,clstoken,True
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.0,107540746,24,98.50,98.26,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_005558.pt,clstoken,True
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.0,107540746,24,98.57,98.67,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_005527.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.0,107344138,24,98.33,98.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_011123.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.0,107344138,24,98.80,98.59,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_011222.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.01,107344138,24,98.67,98.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_011221.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.01,107344138,24,98.20,98.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_011225.pt,clstoken,True
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.01,107540746,24,98.81,98.37,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_011432.pt,clstoken,True
